No	Country	Total Case	New Case	Total Deaths	New Deaths	Total Recovered	Active Case	Serious, Critical	Tot Cases/1M pop	Deaths/1M pop	Total Tests	Tests/1M pop	Population	Continent
53	Belarus	114,185	+1,315	1,046	+7	95,843	17,296	--	12,085	111	2,882,743	305,112	9,448,155	Europe	
54	Egypt	110,547	--	6,442	--	100,946	3,159	46	1,073	63	1,000,000	9,705	103,044,677	Africa	
55	Lebanon	104,267	--	806	--	58,538	44,923	310	15,302	118	1,386,191	203,436	6,813,909	Asia	
56	Honduras	102,555	+476	2,822	+2	44,551	55,182	21	10,294	283	246,269	24,719	9,962,777	North America	
57	Ethiopia	102,321	--	1,565	--	63,675	37,081	321	882	13	1,557,006	13,422	116,004,135	Africa	
58	Bulgaria	97,435	--	2,091	--	28,805	66,539	295	14,063	302	853,900	123,242	6,928,645	Europe	
59	Venezuela	96,933	--	848	--	91,948	4,137	117	3,412	30	2,246,239	79,077	28,405,581	South America	
60	Moldova	89,279	+507	2,019	+13	70,812	16,448	252	22,151	501	415,684	103,136	4,030,432	Europe	
61	Slovakia	86,767	+1,200	510	--	30,519	55,738	202	15,890	93	966,594	177,011	5,460,635	Europe	
62	Serbia	84,568	+3,482	1,009	+20	31,536	52,023	164	9,694	116	1,507,822	172,834	8,724,094	Europe	
63	Bahrain	84,523	--	333	--	82,300	1,890	22	49,058	193	1,894,421	1,099,540	1,722,921	Asia	
64	Croatia	84,206	+2,362	1,049	+43	66,231	16,926	194	20,560	256	619,532	151,264	4,095,696	Europe	
65	Georgia	79,678	+3,020	703	+34	62,061	16,914	--	19,988	176	1,012,265	253,937	3,986,284	Asia	
66	Tunisia	79,339	--	2,279	--	53,758	23,302	285	6,687	192	405,533	34,180	11,864,568	Africa	
67	Azerbaijan	75,688	+2,259	967	+21	55,150	19,571	--	7,440	95	1,516,084	149,027	10,173,187	Asia	
68	Greece	74,205	+1,695	1,106	+71	9,989	63,110	392	7,132	106	2,092,324	201,111	10,403,831	Europe	
69	Libya	73,602	+974	1,017	+22	44,133	28,452	--	10,658	147	371,172	53,747	6,905,887	Africa	
70	Bosnia and Herzegovina	71,956	+1,056	1,889	+41	35,606	34,461	--	21,984	577	372,502	113,807	3,273,104	Europe	
